Annotation1,Annotation2,ID
Zm00001d028672,ENSRNA049439996,567
Zm00001d028678,Zm00001d028687,568
Zm00001d028678,Zm00001d028714,569
Zm00001d028685,Zm00001d028687,570
Zm00001d028687,Zm00001d028714,571
Zm00001d028694,Zm00001d028725,572
Zm00001d028696,Zm00001d028698,573
Zm00001d028696,Zm00001d028711,574
Zm00001d028696,Zm00001d028714,575
Zm00001d028696,Zm00001d028777,576
Zm00001d028698,Zm00001d028699,577
Zm00001d028699,Zm00001d028705,578
Zm00001d028699,Zm00001d028707,579
Zm00001d028701,Zm00001d028705,580
Zm00001d028701,Zm00001d028707,581
Zm00001d028703,Zm00001d028704,582
Zm00001d028705,Zm00001d028707,583
Zm00001d028705,Zm00001d028708,584
Zm00001d028707,Zm00001d028712,585
Zm00001d028707,Zm00001d028708,586
Zm00001d028709,Zm00001d028725,587
Zm00001d028709,Zm00001d028728,588
Zm00001d028711,Zm00001d028712,589
Zm00001d028714,Zm00001d028725,590
Zm00001d028714,Zm00001d028730,591
Zm00001d028715,Zm00001d028720,592
Zm00001d028715,Zm00001d028725,593
Zm00001d028720,Zm00001d028722,594
Zm00001d028725,Zm00001d028749,595
Zm00001d028725,Zm00001d028779,596
Zm00001d028725,Zm00001d028728,597
Zm00001d028726,Zm00001d028728,598
Zm00001d028731,Zm00001d028746,599
Zm00001d028731,Zm00001d028749,600
Zm00001d028733,Zm00001d028736,601
Zm00001d028737,Zm00001d028746,602
Zm00001d028737,Zm00001d028740,603
Zm00001d028737,Zm00001d028742,604
Zm00001d028744,Zm00001d028746,605
Zm00001d028746,Zm00001d028748,606
Zm00001d028749,Zm00001d028759,607
Zm00001d028749,Zm00001d028763,608
Zm00001d028751,Zm00001d028753,609
Zm00001d028753,Zm00001d028768,610
Zm00001d028759,Zm00001d028768,611
Zm00001d028759,Zm00001d028774,612
Zm00001d028759,Zm00001d028786,613
Zm00001d028759,Zm00001d028760,614
Zm00001d028759,Zm00001d028762,615
Zm00001d028762,Zm00001d028768,616
Zm00001d028762,Zm00001d028774,617
Zm00001d028771,Zm00001d028774,618
