Gene,Expression
MH01g0121900,4.22517
MH01g0122000,3.49778
MH01g0122100,0.165882
MH01g0122200,0.294285
MH01g0122300,0.138471
MH01g0122400,7.33396
MH01g0122500,0
MH01g0122600,9.73259
MH01g0122700,0.898105
MH01g0122800,21.405
MH01g0122900,0
MH01g0123000,12.3576
MH01g0123100,0.139133
MH01g0123200,0
MH01g0123300,0
MH01g0123400,0.730399
MH01g0123500,0
MH01g0123600,0.820439
MH01g0123700,0
MH01g0123800,0
MH01g0123900,4.70359
MH01g0124000,0.0379637
MH01g0124100,0
MH01g0124200,0
MH01g0124300,11.4583
MH01g0124400,0
MH01g0124500,15.3853
MH01g0124600,14.7887
MH01g0124700,22.2203
MH01g0124800,0
MH01g0124900,57.9168
MH01g0125000,0
MH01g0125100,63.4505
MH01g0125200,0
MH01g0125300,0
MH01g0125400,0
MH01g0125500,2.53373
MH01g0125600,0
MH01g0125700,0
MH01g0125800,13.65
MH01g0125900,0
MH01g0126000,0.489705
MH01g0126100,0
MH01g0126200,0
MH01g0126300,0
MH01g0126400,0
MH01g0126500,36.8997
MH01g0126600,14.1735
MH01g0126700,0.308947
MH01g0126800,0.126627
MH01g0126900,0.0441411
MH01g0127000,0
MH01g0127100,0
MH01g0127200,0
MH01g0127300,0
MH01g0127400,0
MH01g0127500,0
MH01g0127600,0
MH01g0127700,0
MH01g0127800,0
MH01g0127900,0
MH01g0128000,0
MH01g0128100,0
MH01g0128200,0
MH01g0128300,0
MH01g0128400,0
MH01g0128500,0
MH01g0128600,0
MH01g0128700,0
MH01g0128800,0
MH01g0128900,0
MH01g0129000,0
MH01g0129100,0
MH01g0129200,0
MH01g0129300,0.0347349
MH01g0129400,62.7916
MH01g0129500,0
MH01g0129600,8.50465
MH01g0129700,51.3426
MH01g0129800,0
MH01g0129900,4.20562
MH01g0130000,2.4598
MH01g0130100,0
MH01g0130200,0
MH01g0130300,3.38926
MH01g0130400,38.8339
MH01g0130500,13.3613
MH01g0130600,0
MH01g0130700,0.0156872
MH01g0130800,13.3967
MH01g0130900,3.6841
MH01g0131000,0.86207
MH01g0131100,1.95013
MH01g0131200,0
MH01g0131300,0
MH01g0131400,0
MH01g0131500,0
MH01g0131600,0
MH01g0131700,0.0140766
MH01g0131800,18.0831
MH01g0131900,7.0409
MH01g0132000,21.4036
MH01g0132100,0.0908625
MH01g0132200,0
MH01g0132300,0.952241
MH01g0132400,0
MH01g0132500,0
MH01g0132600,0
MH01g0132700,11.7821
MH01g0132800,3.29604
MH01g0132900,0
MH01g0133000,15.4755
MH01g0133100,56.1324
MH01g0133200,5.62492
MH01g0133300,23.1626
MH01g0133400,5.95633
MH01g0133500,0
MH01g0133600,0
MH01g0133700,0.595628
MH01g0133800,5.72071
MH01g0133900,162.621
MH01g0134000,9.97559
MH01g0134100,0
MH01g0134200,0
MH01g0134300,0
MH01g0134400,14.878
MH01g0134500,1.53051
MH01g0134600,2.77562
MH01g0134700,22.3973
MH01g0134800,1.43884
MH01g0134900,0.868853
MH01g0135000,0
MH01g0135100,3.42175
MH01g0135200,1.03025
MH01g0135300,1.78918
MH01g0135400,2.21394
MH01g0135500,6.22623
MH01g0135600,18.342
MH01g0135700,1.15191
MH01g0135800,0
MH01g0135900,0
MH01g0136000,0
MH01g0136100,0
MH01g0136200,13.5305
MH01g0136300,32.4564
MH01g0136400,0.451047
MH01g0136500,6.49184
MH01g0136600,12.5239
MH01g0136700,7.68894
MH01g0136800,0.435536
MH01g0136900,0.723535
MH01g0137000,0
MH01g0137100,1.00958
MH01g0137200,0
MH01g0137300,0
MH01g0137400,0
MH01g0137500,8.12183
MH01g0137600,50.5374
MH01g0137700,0.220826
MH01g0137800,5.74526
MH01g0137900,0.154385
MH01g0138000,0
MH01g0138100,1.85472
MH01g0138200,0
MH01g0138300,265.234
MH01g0138400,29.1607
MH01g0138500,46.4586
MH01g0138600,3.36994
MH01g0138700,0.0157649
MH01g0138800,5.40746
MH01g0138900,24.7331
MH01g0139000,2.9741
MH01g0139100,0
MH01g0139200,0
MH01g0139300,0
MH01g0139400,0
MH01g0139500,0
MH01g0139600,0.103587
MH01g0139700,10.7632
MH01g0139800,2.56215
MH01g0139900,0.835248
MH01g0140000,17.6746
MH01g0140100,9.77303
MH01g0140200,4.6104
MH01g0140300,17.4353
MH01g0140400,42.2373
MH01g0140500,2.13525
MH01g0140600,8.23215
MH01g0140700,7.3045
MH01g0140800,0.400765
MH01g0140900,3.46049
MH01g0141000,0
MH01g0141100,0
MH01g0141200,2.4447
MH01g0141300,0.394316
MH01g0141400,0
