ID,Annotation1,Annotation2
507,Zm00001d028173,Zm00001d028177
508,Zm00001d028173,Zm00001d028182
509,Zm00001d028177,Zm00001d028195
510,Zm00001d028177,Zm00001d028206
511,Zm00001d028178,Zm00001d028182
512,Zm00001d028178,Zm00001d028213
513,Zm00001d028178,Zm00001d028180
514,Zm00001d028180,Zm00001d028182
515,Zm00001d028183,Zm00001d028229
516,Zm00001d028183,Zm00001d028238
517,Zm00001d028183,Zm00001d028243
518,Zm00001d028183,Zm00001d028318
519,Zm00001d028185,Zm00001d028213
520,Zm00001d028185,Zm00001d028218
521,Zm00001d028187,Zm00001d028228
522,Zm00001d028188,Zm00001d028193
523,Zm00001d028189,Zm00001d028213
524,Zm00001d028189,Zm00001d028206
525,Zm00001d028191,Zm00001d028193
526,Zm00001d028191,Zm00001d028200
527,Zm00001d028195,Zm00001d028203
528,Zm00001d028195,Zm00001d028211
529,Zm00001d028195,Zm00001d028229
530,Zm00001d028195,Zm00001d028205
531,Zm00001d028195,Zm00001d028214
532,Zm00001d028197,Zm00001d028199
533,Zm00001d028204,Zm00001d028214
534,Zm00001d028205,Zm00001d028207
535,Zm00001d028206,Zm00001d028226
536,Zm00001d028206,Zm00001d028229
537,Zm00001d028206,Zm00001d028239
538,Zm00001d028207,Zm00001d028210
539,Zm00001d028208,Zm00001d028211
540,Zm00001d028208,Zm00001d028213
541,Zm00001d028211,Zm00001d028217
542,Zm00001d028211,Zm00001d028226
543,Zm00001d028211,Zm00001d028214
544,Zm00001d028214,Zm00001d028228
545,Zm00001d028215,Zm00001d028216
546,Zm00001d028215,Zm00001d028217
547,Zm00001d028216,Zm00001d028217
548,Zm00001d028217,Zm00001d028285
549,Zm00001d028218,Zm00001d028229
550,Zm00001d028218,Zm00001d028244
551,Zm00001d028218,Zm00001d028256
552,Zm00001d028218,Zm00001d028221
553,Zm00001d028221,Zm00001d028226
554,Zm00001d028227,Zm00001d028569
555,Zm00001d028228,Zm00001d028361
556,Zm00001d028229,Zm00001d028273
557,Zm00001d028229,Zm00001d028285
558,Zm00001d028229,Zm00001d028294
559,Zm00001d028229,Zm00001d028332
560,Zm00001d028229,Zm00001d028369
561,Zm00001d028229,Zm00001d028372
562,Zm00001d028229,Zm00001d028438
563,Zm00001d022701,Zm00001d028243
564,Zm00001d028230,Zm00001d028256
565,Zm00001d028233,Zm00001d028235
566,Zm00001d028233,Zm00001d028237
567,Zm00001d028235,Zm00001d028237
568,Zm00001d028239,Zm00001d028273
569,Zm00001d028239,Zm00001d028256
570,Zm00001d028238,Zm00001d028244
571,Zm00001d028238,Zm00001d028262
572,Zm00001d028238,Zm00001d028240
573,Zm00001d028240,Zm00001d028243
574,Zm00001d028244,Zm00001d028255
575,Zm00001d028244,Zm00001d028272
576,Zm00001d028249,Zm00001d028260
577,Zm00001d028249,Zm00001d028254
578,Zm00001d028256,Zm00001d028269
579,Zm00001d028256,Zm00001d028262
580,Zm00001d028257,Zm00001d028260
581,Zm00001d028257,Zm00001d028261
582,Zm00001d028257,Zm00001d028264
583,Zm00001d028260,Zm00001d028261
584,Zm00001d028260,Zm00001d028262
585,Zm00001d028261,Zm00001d028262
586,Zm00001d028262,Zm00001d028264
587,Zm00001d028262,Zm00001d028263
588,Zm00001d028262,Zm00001d028269
589,Zm00001d028263,Zm00001d028264
590,Zm00001d028264,Zm00001d028265
591,Zm00001d028266,Zm00001d028269
592,Zm00001d028270,Zm00001d028272
593,Zm00001d028272,Zm00001d028363
594,Zm00001d028273,Zm00001d028284
595,Zm00001d028273,Zm00001d028318
596,Zm00001d028273,Zm00001d028369
597,Zm00001d028275,Zm00001d028278
598,Zm00001d028275,Zm00001d028279
599,Zm00001d028275,Zm00001d028284
600,Zm00001d028276,Zm00001d028278
601,Zm00001d022703,Zm00001d022704
602,Zm00001d028279,Zm00001d028284
603,Zm00001d028282,Zm00001d028284
604,Zm00001d028284,Zm00001d028360
605,Zm00001d028285,Zm00001d028286
606,Zm00001d028287,Zm00001d028297
607,Zm00001d028294,Zm00001d028303
