ChIN,Annotation1,Annotation2,ID
19,Zm00001d012521,Zm00001d012522,48092
19,Zm00001d012522,Zm00001d012524,48093
19,Zm00001d012520,Zm00001d012525,48094
19,Zm00001d012521,Zm00001d012525,48095
19,Zm00001d012522,Zm00001d012525,48096
15,Zm00001d010466,Zm00001d012527,48097
15,Zm00001d010466,Zm00001d012528,48098
15,Zm00001d012527,Zm00001d012529,48099
15,Zm00001d012528,Zm00001d012529,48100
15,Zm00001d012529,Zm00001d012531,48101
15,Zm00001d012529,Zm00001d012530,48102
15,Zm00001d012531,Zm00001d012534,48103
15,Zm00001d012530,Zm00001d012534,48104
15,Zm00001d012531,Zm00001d012535,48105
15,Zm00001d012530,Zm00001d012535,48106
70,Zm00001d012536,Zm00001d012537,48107
70,Zm00001d012536,Zm00001d012538,48108
70,Zm00001d012537,Zm00001d012538,48109
70,Zm00001d012537,Zm00001d012543,48110
70,Zm00001d012537,Zm00001d012544,48111
70,Zm00001d012538,Zm00001d012543,48112
70,Zm00001d012538,Zm00001d012544,48113
70,Zm00001d012539,Zm00001d012543,48114
70,Zm00001d012539,Zm00001d012544,48115
70,Zm00001d012543,Zm00001d012545,48116
70,Zm00001d012544,Zm00001d012545,48117
70,Zm00001d012543,Zm00001d012546,48118
70,Zm00001d012544,Zm00001d012546,48119
70,Zm00001d012545,Zm00001d012548,48120
70,Zm00001d012546,Zm00001d012548,48121
70,Zm00001d012545,Zm00001d012549,48122
70,Zm00001d012546,Zm00001d012549,48123
70,Zm00001d012548,Zm00001d012550,48124
70,Zm00001d012549,Zm00001d012550,48125
70,Zm00001d012548,Zm00001d012551,48126
70,Zm00001d012549,Zm00001d012551,48127
70,Zm00001d012550,Zm00001d012552,48128
70,Zm00001d012551,Zm00001d012552,48129
70,Zm00001d012548,Zm00001d012553,48130
70,Zm00001d012549,Zm00001d012553,48131
70,Zm00001d012550,Zm00001d012553,48132
70,Zm00001d012551,Zm00001d012553,48133
70,Zm00001d012552,Zm00001d012553,48134
70,Zm00001d012553,Zm00001d012559,48135
70,Zm00001d012555,Zm00001d012559,48136
70,Zm00001d012556,Zm00001d012559,48137
70,Zm00001d012557,Zm00001d012559,48138
70,Zm00001d012555,Zm00001d012560,48139
70,Zm00001d012556,Zm00001d012560,48140
70,Zm00001d012557,Zm00001d012560,48141
70,Zm00001d012559,Zm00001d012560,48142
70,Zm00001d012560,Zm00001d012562,48143
70,Zm00001d012560,Zm00001d012563,48144
70,Zm00001d012560,Zm00001d012564,48145
70,Zm00001d012562,Zm00001d012564,48146
70,Zm00001d012563,Zm00001d012564,48147
70,Zm00001d012564,Zm00001d012566,48148
70,Zm00001d012564,Zm00001d012567,48149
70,Zm00001d012564,Zm00001d012568,48150
70,Zm00001d012567,Zm00001d012569,48151
70,Zm00001d012568,Zm00001d012569,48152
70,Zm00001d012566,Zm00001d012571,48153
70,Zm00001d012567,Zm00001d012571,48154
70,Zm00001d012568,Zm00001d012571,48155
70,Zm00001d012569,Zm00001d012571,48156
70,Zm00001d012569,Zm00001d012573,48157
70,Zm00001d012573,Zm00001d012575,48158
70,Zm00001d012573,Zm00001d012576,48159
70,Zm00001d012573,Zm00001d012577,48160
70,Zm00001d012574,Zm00001d012575,48161
70,Zm00001d012574,Zm00001d012576,48162
70,Zm00001d012574,Zm00001d012577,48163
70,Zm00001d012575,Zm00001d012577,48164
70,Zm00001d012576,Zm00001d012577,48165
70,Zm00001d012577,Zm00001d012577,48166
70,Zm00001d012575,Zm00001d012580,48167
70,Zm00001d012576,Zm00001d012580,48168
70,Zm00001d012577,Zm00001d012580,48169
70,Zm00001d012577,Zm00001d012580,48170
70,Zm00001d012575,Zm00001d012581,48171
70,Zm00001d012576,Zm00001d012581,48172
70,Zm00001d012577,Zm00001d012581,48173
70,Zm00001d012581,Zm00001d012584,48174
70,Zm00001d012575,Zm00001d012585,48175
70,Zm00001d012576,Zm00001d012585,48176
70,Zm00001d012577,Zm00001d012585,48177
70,Zm00001d012580,Zm00001d012585,48178
70,Zm00001d012581,Zm00001d012585,48179
70,Zm00001d012584,Zm00001d012585,48180
70,Zm00001d012585,Zm00001d012586,48181
70,Zm00001d012581,Zm00001d012590,48182
70,Zm00001d012581,Zm00001d012591,48183
70,Zm00001d012584,Zm00001d012590,48184
70,Zm00001d012584,Zm00001d012591,48185
70,Zm00001d012585,Zm00001d012590,48186
70,Zm00001d012585,Zm00001d012591,48187
70,Zm00001d012586,Zm00001d012590,48188
70,Zm00001d012586,Zm00001d012591,48189
70,Zm00001d012585,Zm00001d012590,48190
70,Zm00001d012586,Zm00001d012590,48191
70,Zm00001d012585,Zm00001d012593,48192
70,Zm00001d012586,Zm00001d012593,48193
70,Zm00001d012590,Zm00001d012593,48194
70,Zm00001d012591,Zm00001d012593,48195
70,Zm00001d012590,Zm00001d012593,48196
70,Zm00001d012593,Zm00001d012594,48197
70,Zm00001d012593,Zm00001d012595,48198
70,Zm00001d012590,Zm00001d012596,48199
70,Zm00001d012590,Zm00001d012597,48200
70,Zm00001d012590,Zm00001d012598,48201
70,Zm00001d012590,Zm00001d012599,48202
